epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5868055820465088,1.1600373983383179,0.001,0.18958333134651184,19751.87109375
1,0.6666666865348816,0.9646359086036682,0.001,0.20000000298023224,517.8535766601562
2,0.7923611402511597,0.6192983984947205,0.001,0.3020833432674408,24.41597557067871
3,0.8465277552604675,0.4196968078613281,0.001,0.23125000298023224,30.431461334228516
4,0.9118055701255798,0.26803234219551086,0.001,0.34583333134651184,19.64400863647461
5,0.9263888597488403,0.23309914767742157,0.001,0.3479166626930237,7.276405334472656
6,0.9222221970558167,0.22644954919815063,0.001,0.3958333432674408,18.99274444580078
7,0.9347222447395325,0.18212157487869263,0.001,0.36250001192092896,10.089763641357422
8,0.9680555462837219,0.09411487728357315,0.00020000001,0.5416666865348816,3.013610363006592
9,0.9979166388511658,0.023262521252036095,0.00020000001,0.7520833611488342,1.0065237283706665
10,1.0,0.009984673000872135,0.00020000001,0.8187500238418579,0.643463134765625
11,1.0,0.007047292776405811,0.00020000001,0.84375,0.5305346846580505
12,1.0,0.004680551588535309,0.00020000001,0.8666666746139526,0.45499154925346375
13,1.0,0.004885257687419653,0.00020000001,0.8854166865348816,0.3962789475917816
14,0.9993055462837219,0.0035156907979398966,0.00020000001,0.8979166746139526,0.35888558626174927
15,1.0,0.00325702759437263,0.00020000001,0.8999999761581421,0.3513399064540863
16,1.0,0.0016513883601874113,0.00020000001,0.8999999761581421,0.3368321359157562
17,1.0,0.002129528671503067,0.00020000001,0.8979166746139526,0.3398967683315277
18,1.0,0.002864537527784705,0.00020000001,0.8895833492279053,0.351000040769577
19,1.0,0.0013847675872966647,4.0000003e-05,0.893750011920929,0.3484433591365814
20,1.0,0.001691124984063208,4.0000003e-05,0.893750011920929,0.34353339672088623
21,1.0,0.001459899009205401,8.000001e-06,0.8958333134651184,0.34025272727012634
22,1.0,0.0012908719945698977,8.000001e-06,0.8958333134651184,0.3368699848651886
23,1.0,0.002013578312471509,1.6000001e-06,0.8979166746139526,0.3341268002986908
24,0.9993055462837219,0.002737936330959201,1.6000001e-06,0.8979166746139526,0.3317627012729645
